# MIME table updated from IANA application.csv on 2026-05-01
# Format: <mime-type><TAB><space-separated-extensions>

application/1d-interleaved-parityfec	1d-interleaved-parityfec
application/3gpdash-qoe-report+xml	3gpdash-qoe-report+xml
application/3gpp-ims+xml	3gpp-ims+xml
application/3gpp-mbs-object-manifest+json	3gpp-mbs-object-manifest+json
application/3gpp-mbs-user-service-descriptions+json	3gpp-mbs-user-service-descriptions+json
application/3gpp-media-delivery-metrics-report+json	3gpp-media-delivery-metrics-report+json
application/3gppHal+json	3gpphal+json
application/3gppHalForms+json	3gpphalforms+json
application/A2L	a2l
application/aas+zip	aas+zip
application/ace+cbor	ace+cbor
application/ace+json	ace+json
application/ace-groupcomm+cbor	ace-groupcomm+cbor
application/ace-trl+cbor	ace-trl+cbor
application/activemessage	activemessage
application/activity+json	activity+json
application/aif+cbor	aif+cbor
application/aif+json	aif+json
application/alto-cdni+json	alto-cdni+json
application/alto-cdnifilter+json	alto-cdnifilter+json
application/alto-costmap+json	alto-costmap+json
application/alto-costmapfilter+json	alto-costmapfilter+json
application/alto-directory+json	alto-directory+json
application/alto-endpointcost+json	alto-endpointcost+json
application/alto-endpointcostparams+json	alto-endpointcostparams+json
application/alto-endpointprop+json	alto-endpointprop+json
application/alto-endpointpropparams+json	alto-endpointpropparams+json
application/alto-error+json	alto-error+json
application/alto-networkmap+json	alto-networkmap+json
application/alto-networkmapfilter+json	alto-networkmapfilter+json
application/alto-propmap+json	alto-propmap+json
application/alto-propmapparams+json	alto-propmapparams+json
application/alto-tips+json	alto-tips+json
application/alto-tipsparams+json	alto-tipsparams+json
application/alto-updatestreamcontrol+json	alto-updatestreamcontrol+json
application/alto-updatestreamparams+json	alto-updatestreamparams+json
application/AML	aml
application/andrew-inset	ez
application/applefile	applefile
application/asyncapi+json	asyncapi+json
application/asyncapi+yaml	asyncapi+yaml
application/at+jwt	at+jwt
application/ATF	atf
application/ATFX	atfx
application/atom+xml	atom
application/atomcat+xml	atomcat
application/atomdeleted+xml	atomdeleted+xml
application/atomicmail	atomicmail
application/atomsvc+xml	atomsvc
application/atsc-dwd+xml	atsc-dwd+xml
application/atsc-dynamic-event-message	atsc-dynamic-event-message
application/atsc-held+xml	atsc-held+xml
application/atsc-rdt+json	atsc-rdt+json
application/atsc-rsat+xml	atsc-rsat+xml
application/ATXML	atxml
application/auth-policy+xml	auth-policy+xml
application/automationml-aml+xml	automationml-aml+xml
application/automationml-amlx+zip	automationml-amlx+zip
application/bacnet-xdd+zip	bacnet-xdd+zip
application/batch-SMTP	batch-smtp
application/beep+xml	beep+xml
application/bufr	bufr
application/c2pa	c2pa
application/calendar+json	calendar+json
application/calendar+xml	calendar+xml
application/call-completion	call-completion
application/CALS-1840	cals-1840
application/captive+json	captive+json
application/cbor	cbor
application/cbor-seq	cbor-seq
application/cccex	cccex
application/ccmp+xml	ccmp+xml
application/ccxml+xml	ccxml
application/cda+xml	cda+xml
application/CDFX+XML	cdfx+xml
application/cdmi-capability	cdmia
application/cdmi-container	cdmic
application/cdmi-domain	cdmid
application/cdmi-object	cdmio
application/cdmi-queue	cdmiq
application/cdni	cdni
application/ce+cbor	ce+cbor
application/CEA	cea
application/cea-2018+xml	cea-2018+xml
application/cellml+xml	cellml+xml
application/cfw	cfw
application/cid	cid
application/cid-edhoc+cbor-seq	cid-edhoc+cbor-seq
application/city+json	city+json
application/city+json-seq	city+json-seq
application/clr	clr
application/clue+xml	clue+xml
application/clue_info+xml	clue_info+xml
application/cms	cms
application/cmw+cbor	cmw+cbor
application/cmw+cose	cmw+cose
application/cmw+json	cmw+json
application/cmw+jws	cmw+jws
application/cnrp+xml	cnrp+xml
application/coap-eap	coap-eap
application/coap-group+json	coap-group+json
application/coap-payload	coap-payload
application/commonground	commonground
application/concise-problem-details+cbor	concise-problem-details+cbor
application/conference-info+xml	conference-info+xml
application/cose	cose
application/cose-key	cose-key
application/cose-key-set	cose-key-set
application/cose-x509	cose-x509
application/cpl+xml	cpl+xml
application/csrattrs	csrattrs
application/csta+xml	csta+xml
application/CSTAdata+xml	cstadata+xml
application/csvm+json	csvm+json
application/cwl	cwl
application/cwl+json	cwl+json
application/cwl+yaml	cwl+yaml
application/cwt	cwt
application/cybercash	cybercash
application/dash+xml	dash+xml
application/dash-patch+xml	dash-patch+xml
application/dashdelta	dashdelta
application/davmount+xml	davmount
application/dca-rft	dca-rft
application/DCD	dcd
application/dec-dx	dec-dx
application/dialog-info+xml	dialog-info+xml
application/dicom	dicom
application/dicom+json	dicom+json
application/dicom+xml	dicom+xml
application/did	did
application/DII	dii
application/DIT	dit
application/dns	dns
application/dns+json	dns+json
application/dns-message	dns-message
application/dots+cbor	dots+cbor
application/dpop+jwt	dpop+jwt
application/dskpp+xml	dskpp+xml
application/dssc+der	dssc
application/dssc+xml	xdssc
application/dvcs	dvcs
application/eat+cwt	eat+cwt
application/eat+jwt	eat+jwt
application/eat-bun+cbor	eat-bun+cbor
application/eat-bun+json	eat-bun+json
application/eat-ucs+cbor	eat-ucs+cbor
application/eat-ucs+json	eat-ucs+json
application/ecmascript	es
application/edhoc+cbor-seq	edhoc+cbor-seq
application/EDI-consent	edi-consent
application/EDI-X12	edi-x12
application/EDIFACT	edifact
application/efi	efi
application/elm+json	elm+json
application/elm+xml	elm+xml
application/EmergencyCallData.cap+xml	emergencycalldata.cap+xml
application/EmergencyCallData.Comment+xml	emergencycalldata.comment+xml
application/EmergencyCallData.Control+xml	emergencycalldata.control+xml
application/EmergencyCallData.DeviceInfo+xml	emergencycalldata.deviceinfo+xml
application/EmergencyCallData.eCall.MSD	emergencycalldata.ecall.msd
application/EmergencyCallData.LegacyESN+json	emergencycalldata.legacyesn+json
application/EmergencyCallData.ProviderInfo+xml	emergencycalldata.providerinfo+xml
application/EmergencyCallData.ServiceInfo+xml	emergencycalldata.serviceinfo+xml
application/EmergencyCallData.SubscriberInfo+xml	emergencycalldata.subscriberinfo+xml
application/EmergencyCallData.VEDS+xml	emergencycalldata.veds+xml
application/emma+xml	emma
application/emotionml+xml	emotionml+xml
application/encaprtp	encaprtp
application/entity-statement+jwt	entity-statement+jwt
application/epp+xml	epp+xml
application/epub+zip	epub
application/eshop	eshop
application/example	example
application/exi	exi
application/expect-ct-report+json	expect-ct-report+json
application/explicit-registration-response+jwt	explicit-registration-response+jwt
application/express	express
application/fastinfoset	fastinfoset
application/fastsoap	fastsoap
application/fdf	x-iana-fdf
application/fdt+xml	fdt+xml
application/fhir+json	fhir+json
application/fhir+xml	fhir+xml
application/fits	fits
application/flexfec	flexfec
application/font-sfnt	font-sfnt
application/font-tdpfr	pfr
application/font-woff	font-woff
application/framework-attributes+xml	framework-attributes+xml
application/geo+json	geo+json
application/geo+json-seq	geo+json-seq
application/geofeed+csv	geofeed+csv
application/geopackage+sqlite3	geopackage+sqlite3
application/geopose+json	geopose+json
application/geoxacml+json	geoxacml+json
application/geoxacml+xml	geoxacml+xml
application/gltf-buffer	gltf-buffer
application/gml+xml	gml
application/gnap-binding-jws	gnap-binding-jws
application/gnap-binding-jwsd	gnap-binding-jwsd
application/gnap-binding-rotation-jws	gnap-binding-rotation-jws
application/gnap-binding-rotation-jwsd	gnap-binding-rotation-jwsd
application/grib	grib
application/gzip	gzip
application/H224	h224
application/held+xml	held+xml
application/hl7v2+xml	hl7v2+xml
application/http	http
application/hyperstudio	stk
application/ibe-key-request+xml	ibe-key-request+xml
application/ibe-pkg-reply+xml	ibe-pkg-reply+xml
application/ibe-pp-data	ibe-pp-data
application/iges	x-iana-iges
application/im-iscomposing+xml	im-iscomposing+xml
application/index	index
application/index.cmd	index.cmd
application/index.obj	index.obj
application/index.response	index.response
application/index.vnd	index.vnd
application/inkml+xml	ink inkml
application/IOTP	iotp
application/ipfix	ipfix
application/ipp	ipp
application/ISUP	isup
application/its+xml	its+xml
application/java-archive	jar
application/javascript	js
application/jf2feed+json	jf2feed+json
application/jose	jose
application/jose+json	jose+json
application/jrd+json	jrd+json
application/jscalendar+json	jscalendar+json
application/jscontact+json	jscontact+json
application/json	json
application/json-patch+json	json-patch+json
application/json-patch-query+json	json-patch-query+json
application/json-seq	json-seq
application/jsonpath	jsonpath
application/jwk+json	jwk+json
application/jwk-set+json	jwk-set+json
application/jwk-set+jwt	jwk-set+jwt
application/jwt	jwt
application/kb+jwt	kb+jwt
application/kbl+xml	kbl+xml
application/kpml-request+xml	kpml-request+xml
application/kpml-response+xml	kpml-response+xml
application/ld+json	ld+json
